idTransaction,cardNumber,account,dateppe,amount
012341,"7894561230789456","45698710","14/06/2026",120.00
012342,"7894561234449456","45698711","14/06/2026",10.00
012343,"7894561230789457","45698712","14/06/2026",320.00
012344,"7894561230789458","45698713","14/06/2026",10.00
012345,"7894561230789459","45698714","15/06/2026",250.00
012346,"7894561230789460","45698715","15/06/2026",20.00
012347,"7894561230789460","45698716","15/06/2026",114.00
012348,"7894561230789462","45698717","15/06/2026",03.00
012349,"7894561230789463","45698718","15/06/2026",199.00
012350,"7894561230789464","45698719","15/06/2026",120.00
012351,"7894561230789465","45698720","15/06/2026",836.00
012352,"7894561230789466","45698721","15/06/2026",100.00
012353,"7894561230789467","45698722","15/06/2026",88.00
012354,"7894561230789468","45698723","15/06/2026",50.00
012355,"7894561230789469","45698724","18/06/2026",70.00
012356,"7894561230789470","45698725","18/06/2026",400.00
012357,"7894561230789471","45698726","18/06/2026",8.00
012358,"7894561230789472","45698727","18/06/2026",90.00
012359,"7894561230789473","45698728","18/06/2026",456.00
012360,"7894561230789474","45698729","18/06/2026",321.00
012361,"7894561230789475","45698730","20/06/2026",96.00
012362,"7894561230789476","45698731","20/06/2026",41.00
012363,"7894561230789477","45698732","20/06/2026",33.00
012364,"7894561230789478","45698733","20/06/2026",74.00
012365,"7894561230789479","45698734","20/06/2026",28.00
012366,"7894561230789480","45698735","20/06/2026",12.00
012367,"7894561230789481","45698736","20/06/2026",5.00
012368,"7894561230789482","45698737","20/06/2026",824.00
012369,"7894561230789483","45698738","20/06/2026",100.00
012370,"7894561230789484","45698739","20/06/2026",97.00
